street_name,category,polyline
Senoko Way,Military Installations,s|}GwnrxRMUGQbB}PIEaFcH?C?CBEFCJAHBBH@J?Hb^n`@CCIMmZaYMKq@c@IGKOIOI[AYrWhTEIcAeBAK`CjEg@eAoU{CBCDIbA_BVa@q@dAU\y@rCDk@H|BKi@C[\`BGMpDzGEIc@w@dTyBLRwE_IYOOK{BoASM|BrAkF}C[QQMcCyA|@j@l@^cEgCNJh@XOGgDkEdAdCfGtDfF|CUOd@XiDqBXPp@^kG}@n@cAgB`RIOzPmH`AdBFHoXqUOUAGAG
Sentul Crescent,Tropical Botany,wbrG}beyRe@I_@AYBWB[F[Ne@^OR~AyAPG\C^?XB`@D`Bf@iMhR[WSYMWIYG[AOAU@a@BSzAlETLzBx@mEqHGPERAT?^@RDZLZHRNRTTr@t@c@QKG`FfBSG~J_SICo@S?Uv@XHBeK|RF@OJw@YzAVnCqUkEUc@TTMyAbBRc@V]qDxHN[]t@tDbIm@sOO\sAjBj@mAZq@Rc@BI_B|EjBkEZw@Uj@
Sentul Walk,Historic Places,ctsGspeyRR?`f@fRGCc@QwB_AoB{@WOOIjDh@vBdA}d@kP\@z\hLvGpDOFFa@NFYMyIoCQK_@QbAGTJNFySoHSCuA[m@QhUjHn@Vs[iJUAhALUESClDF~Bh@bBn@ZJnAj@nGpCuTwHD`@hObFaEoB[K_@O
Serangoon Avenue 1,Avenue,azeG_u~xRAQEMKSMOe@i@OOGIIEIEoFeE?WdT_N_@MoD_ANDp@JsOdAJSJMTMPE??fG_@fAGZ?oLbP?cAAwI?S@G?pH?q@AsB?t@BgEtA_AbAGlAI~ITTD_RzR?gArAdDGAMAMEMIIIIIEKCMAKdFrAMAKAM?u@?zC}ViE|V}AyNzRoEEIEAPAJB^J
Serangoon Avenue 2,Road Infrastructure,gvgGgu}xRXAv[iSGFURGHEFU\KVIPeErJOPc@Zg@XUHSDo@Jz[wW_@`AILOPOJSH[HhD}EWj@mMnF_\pSp@Cu@XY@xAGQ@vMsBRIXMRMPOPOzGmNRMpCe@NA^EzBQZENGLILOn@yAP]@EsQbMM\IRCDr@qCP_@LULQPQLMFGuXhSaAXbVmKbScOiSpO[t@RkAFSxS}Oyc@z[^G`AMkCn@c@DY@NW|DOo@Lg@FK@hYmTu@FSB_@F]GNGb@G\GuEvE}BnEl@{AlMsIe@D{@HjFgBcQbKL[N]JYuClHVo@wEdDJAPELALEwB^`@G@NOBOBxGoDQ^zCoH
Serangoon Avenue 3,Historical Figures,}~fGw~|xR@GFUHKFGHGBARGPEHCvAc@x@We\{`@QBMBKB[RtWnAMGuAo@pAtn@LQqR}o@ICI@oC_@VJPBRBNB`AEH?DGbXvEUIaA]y@q@LDHDPDqRoC\AN?pVpFQGOGw@c@ZJrGnIWwBIc@CMQYQS{@c@GCoHff@GcBBjCBMOiEGgA`L}GN]BGFMf@yABGuD`FXKPGaIo[E[vMvOMeAEWRpGNa@B_@CY_WcV]AqAD~DT]MQEt@Dv@\kC{@d@H|A`AwFeAr@C`@AoDZu@@o@@WDzNf@xAp@`HvCOG~ElMgCjI\]iJcZlJ~YiX__@wDFN@D?nDBq@BiDN?a@DAD@D@A^C@E?RW?DAD]SCTAE?E
Serangoon Avenue 4,Avenue,kxgGak~xR^?qMUG?G@KBGBGFEDCFC\C^rKiAWAs@AO?WAwCIfBDw@AdHLWAeEGcGtB
Serangoon Central,Urban Planning,ikfGw__yRaABO@OFUNqg@~DXLbSbDdABd@CTEPE|GwEb@c@ka@hBt@Zv]u@aAv@g@`@KHSNUPmYw@m@WMEYMrc@_Bc@`@nCaDl@e@LEPAj@AuBjAONi@d@i@b@wGbF]NqA\]DcACsAIhHeAn@a@NM}AbALG}QBw@K_AMYIh@Oh@JbYaBt@k@yTrESC]EfF`@c@CoGmAnATXF~VeFf@a@gA`BnNaEQ?gC@kZdKL@eDUrEXfEU`KyGjFsB`CAP?wEBD?iQlLUDoISdAFeGo@ACAE@E@E@CWp@fBZhDR[vCbBPi@vEw@CcGJKISgG\_Dt@Y
Serangoon Central Drive,Serangoon Geography,wqgGml~xRCo@?Y@m@Du@@dB@\@\?HFyEC`@GtHAu@?YE`DFS@M?G?{GKTTiA?fH@l@?HGgC@XH}HBYGfN
Serangoon Garden Close,Garden Residential,}iiG{b|xRJAFGJg@
Serangoon Garden Drive,Botanical Gardens,_piG_e|xR@EDQb@aB
Serangoon Garden Rise,Gardens And Parks,qsiGgf|xR@ENi@f@aB
Serangoon Garden Terrace,Tropical Gardens,{viGog|xRBKDIj@yB
Serangoon Garden Way,Botanical Pathway,uaiGuv~xR@[qC`CUK_Ak@Wjb@ALANAH?Z?j@?b@y_@z\fCx@RDn@P|@RfZmbATs@P_@eTx_AEDwAjAEFCJb\mgAATCRg@FJIHSBGeBtBQRO\Ut@rDeGyG|a@AMCyBY~QKNMXf@_B?JCLELAi@?MEMIG\GALSmALGHGDO?MHV?VAFT{IDV@Rc@tABk@\YCPENua@v`@z`@o\DuDNx@GiF?^dA}KCFe@rBEPnDiR|@UIFi@ZqCzLB_A@oADiABu@}@lLDQf@{BlAkLm@vBEZIpBwAzMBiAB]cLrv@F@THoAa@f@PdFrAD@TFfAXB?xA^sHkBNDPDfJocAGjC_A|ECZClA@|C@LBHDHUyBiTzl@ENrMcOCF[p@Wb@{ErDjIyJMZ??rAsCMZsNdVjNsUGD}MpUtAd@ZJlNsb@IqB?GuErSsBxSrEhAXH}Bk@TFvI_mAaTf`ApNsSDQK\_ArBf@gAs@bB`A}BkApCzBeH
Serangoon Gardens,Gardens,qoiGqb}xRv@gB_Aa@uA~CaBo@PmCfDPNo@b@@nClAp@{Al@^w@fBGBICcAxBo@UG@e@A
Serangoon Lane,Serangoon Place Names,_|eGwq_yRAQAKIcA
Serangoon Link,Historical Figures,{tfGio~xRCMh@vCCUq@_DYcA|@hDI[TjACQ
Serangoon North Avenue 1,Historical Figures,{piGwq~xRQDoCL_YjCFLBPdZV^YTWj@oA`AuBOLOJ~B_DKPg@v@S\}@j@PKNSb@q@f@w@bAiAS\MP|@{BA`@SKB_@ca@hEKk@AK?Q@OFQFOLQPQVKLC`@GaBzEJCCr@H?qDhEO@hTeMGSMWQQGEKGQCUCO?Q@cGfAp]\mj@nLa@?c@EOAjCH`J{MRA`B[jCg@LAJAL?L?LBPDHDLHJJLTJR}KFa@HI@OFKFKJIHEJGNCP?RDZkCxHZST`Kl@A\CgIV~B@f@GTCHARArL}BfAWiKhCFAfUuGn@YaHdCb@KZGd@QuBj@iReEHAZGdW|BqRmIM_ADRFxACRETOb@OVUT]VUnB?jB@h@LmGZUmFr@d@?B?aCMLBd\}FNr@FPJLPL\LTBj@CnCQNCkEb@UAQEQGUOKOIQQw@Km@LCsWtHD?NJxEzI`Dw@p@O}EaPHj@CQg@`DHQJQHYDO@G@OeBtOvJaBpF_UPdApN@`@}@gDrG?PAPUb@IEPe@AS
Serangoon North Avenue 2,Residential Suburb,_jjGu}~xRKi@COISp@jDAIw@cEMs@CU?O@ONm@p@bINRBJa@wBDXWoAG_@d@}EMDCJQx@n@|Hi@yJ@KCMSfCAN?L@J
Serangoon North Avenue 3,Avenue,gdkGol~xRURo@j@Of@?H?RnImDEAm@KKA}@OW?UDOJzHp@c@EMEw@QwGTZUZW\Wp@?NBf@Fh@JNBl@Hx@Pb@Dq@IeLxIGHC@EKRkA?r@S??G?K@c@@qA?[Hs@FpAAbAX_E\WkAdH
Serangoon North Avenue 4,Avenue,_gkGcd_yRM?O?s@C{@A_@AeN[oACnVjKJMZCd@?hA@^KROHOH_@@g@B??f@I^KPKHKH_@JcAAk@AYD]bHMQKWCGAKCO?S?KcHaPSAEADAR@FBrLToACmEOnCF\@aFEoACIAGCF?|@Bz@@`FJv@tVGKqBuF?MB{@@M?GN[WtCrCiO`CvAAWGMY[SISITDPH^`@DJ@VcXwBUA|BD[?iDIvUfWo@w@kWsUMAt^nCCjACA@c@@c@AIoAuA_DzRoN_TjMlP`@hB_@mA?PBJL\
Serangoon North Avenue 5,Avenue,_qkGck_yR?e@s@z^?OH_C?Wf@wZ?QL?ARA`@StF?CPwDz@bq@k@AUAQGWOEULLVLVDr@@kBsRAHG?d@}PAT?LAj@Al@ChAXgOfN|n@~A@HADCNOgDPZ@HLI?G?SAbDVGICACCKCgSqHAbARoKEnBEhBCtAEoADqBIfKAkDhDnGZ?`CFp@@}EI?J|EHoEGZ?sDgRtHlRcIiBDXF\Q[COAMAO@i@@[@]|@{d@HkDArD?BIz@@c@CtASlOEzBFyCB}AAgBBcA@G@k@@mAPwDIjDUxH`@kO
Serangoon North Avenue 6,Transportation Hub,krkGcl~xRG?eEK{AGqAAIAhGNwLYyACQ?U?lTZH?}BEp@@cCGyAEsDK~ADyHOT?P@zABzOh@o@AWA}JU_AC@IbO\
Serangoon River Close,River View,koiG_}cyRi@Dm@VMH|CDW_@IG?SPa@uD`COAKK@QVM
Serangoon River Lane,Riverside Lanes,wwiGu}dyREJWb@yAnC[l@Ud@rCqGWQmBs@uBm@w@SEMFQNAPFLTPL|@TjC`Al@ZZP|EvCl@b@h@t@L|@N~BGNQDMO?YPW@UMwAOi@e@k@{EwCg@]
Serangoon River Road,Riverfront,wniGwedyRNv@ZfCVdCFd@L^Pb@T\nD|@u@Fa@@S@[CYO[Y]i@Ua@Oe@Kq@O}AGi@Y_COq@Ss@_G}Iy@m@EGCE@GBGDEFAF?\RjHxKbOjPWGYCg@A?GZGXKZc@sIp@\Vv@HwO}\^\VZbAfAl@z@p@hA\|@\bA{D_Gs@q@`CvCS]`BzDW{@_@}@zJhTTA~@OcXu]MGQKgFeCKO@MHIT?xDlBj@ZRHJFZP
Serangoon Road,Colonial Trade Route,u{}FekzxRYOUKmgCefBEGxl@hc@gAy@g@]ECIIzt@`j@KIIEgA{@aVsQQMw@k@g@_@wAcAeAw@is@}h@s@k@a@Y}BmBxHpGEEIGe@]hZvTg@_@[Yg@[}AkAIGCCa@[k@_@MGMIEEaBkA{@o@fF|D_@b@e@t@vC_@OO`bAft@CAOKw@g@MI}bBcoAeA_@[QIKEKEKrAxBKCWIWG}@]~MjHWS[SYSrIdG_@[{CuBk@_@gDcCMI~jBnsAa@Ukb@mZuAcAqHqFyAeAiAy@OIxnAny@uAo@IEECsAu@OKECKEUMeAm@uKiGECaGkDOKWOkWgRmA}@kz@}m@GEo@g@KI~f@v^cNaKGGQOfn@nd@yB_BxFjEwAiArR~Mu^qWk@c@rF~Dq@g@qXaSeCkBss@wi@]ObB|AQYSWnT|PECo@c@SOSOliA`z@ECfIzF_@YjTnMCAGEOIQKbIpESKwQgK~A~@fDjBk@[_@UlMnHil@a_@wIoGvB|Akm@wc@FDnb@~Zze@j]gG}DGEylAs|@_@YkLmIEC
Serangoon Terrace,Serangoon Trees,wefGgo_yRy@?GEa@g@?IDInCsAJEg@zC
Serapong Course Road,Golf Course,_xrFkovxRIFQLw@~@_@f@[T[JqA\SBU@c@EQG]OMGUGeBQWAgFCWAICKAoAe@e@QgBi@OIYQe@e@rc@`@OAKDC?
Serapong Hill Road,Historical Figures,kurFqtwxRKCo@Uy@DcA^gBrA{@rAqAVYb@}BpDEpAcA~Aa@n@QVEF
Seraya Avenue,Tropical Plants,{_yF_m`xRZY\_@xPmQfCiC}PjQjBqBcCjCm@n@fGsG|QkRrCwCzC_D~CaDt@s@NQ
Seraya Crescent,Tropical Trees,epkG}uuxRH?x@A`DGb@DH?Ru@PWnA}E?W?bA?Q?l@Bf@AI?Ms@|Ab@c@LQwBpF?}@
Seraya Lane,Tropical Trees,ah~Fo_dyRIEGCAEBCBCD?H`@\fAZ|@_A_DhBfG
Seraya Loop,Waterfront,ybhGeikxR??AEAE@EBE^{AB]C_@M]iOz@CVI~@Or@ERATDRZ^b@RZHn@NjB\|Bj@F?FADCDE@E@GNo@DIRW
Seraya Road,Tropical Plants,ab~F_ddyRh@hBHVEBgA\tCdC|lEx{`@yCuCoYqX
Serenade Walk,Musical,aglGshwxRs@\eBz@A?sBh@a@Pg@b@EDA@bKwE[q@CC
Service Road,Transport Infrastructure,i~dG_njyRm@|@o@rAc@n@IJwB`Dg@v@a@\e@b@gBbBm@l@y@Z[LgAf@]\U`@i@zAWf@CJ?J?TANGLaAjAO\M^[j@_@n@[\cA`BcBxDIXCXB`@he@es@zGqD{AbAYHYDc@H_@Pg@^}e@~w@FxANfATfBtAnD`@lBx@dE~@vCTZ
Seton Close,Historical Figure,k`~FuluxRGBKDqBx@CBUP
Sfa Neo Tiew Lane 2,Rural,
Shamah Terrace,Historic Figures,i_fGkkixRl@_@HM@Mo@qCc@|EHC
Shan Road,Road,gtaGuoyxRVHBBBFAH{M}CDGBCFAtAHF@JDdItESRONuE}E@T?RzFvCDFJFZPuMqGf@?L?FDt@PZJz@RdBd@\LF@XJ^J}E|A?J@V?JcCkGG@k@AEBCB
Shanghai Road,Historical Names,_c|FqvuxRzF{Cr@a@LI]R
Shangri-La Close,Exotic Places,axjG}yvxRBIJUBKBMLiD
Shangri-La Walk,Exotic Paradise,apjGo{vxRG?OAL|AB@RDJBsC[FsA@Cx@vDDIDKf@qC@EDw@?AuBj@JaC`AxGq@oC|BnBjBGqEvA
Shaw Road,Road Named After Person,m|cGk{`yRGE_@SpBnCWeAEKEIuHkDm@]ECjAn@p@XWKd@PpAh@EAq@YvFrFCG
Sheares Avenue,Avenue of Names,a_zFwm|xR|CJlBJjANtATmLa@aFEiGC\]lFBrA@pk@zNxBnAZPUb@]QgHaE|R|KWMeCyAkQyJgCmAeI{D|@Rf@L|@XiGs@oAWkAOiBMbJrAda@`QzBlATLiHiCMGaWoMCAs@Ui@O~\pPaXuOdC~@hCnApBdA{KyDtVzK`CpAqaAgT`f@|Dcg@_E
Sheares Link,Historical Figures,{kyF_c|xRk@dA?BCDWMBE^q@fBkEJRBDBD@F?D?DA@wCrFWM~ByCMQTc@BG@G?C?Q
Shelford Road,Historical Figures,o`bGkmrxRgA[eBsK{@Ee@AW@hAbJc@vAi@hB|KcABENk@oFa@_@jAFNsB{GG@EACEAEBEBEF?D@BD@DCDjGdD`HuK_A^z@|BaBb@rAODA@ABE@E_@bLSGi@OsMoDuA_@o@Ux@yGSJiAx@GDqA~@k@f@G?OBQBQF[PxZcFyAf@G@I@K?u@Ec@CcO~CpIdEdEhA[oLyOzBvG|B?M
Shenton Lane,Historical Figures,asxF}ezxRGC]SeFgCi@YEE|DtB[Qc@Uc@URJzEbCJFj@ZPH~@f@FBzAx@h@Z
Shenton Way,Modern Urban Development,ofxFizyxRXP_XgNhB|@nd@xXJHd@X@@BB}AkA`@\wHkGJFXRiPyUOInA{Bu@a@A@LUp@^\o@FBHD]n@{@|A`Ah@h@XKTi@[UMq@lAFDVNS\INm@dAINIEEHGCECDIIECDg@Y~`@`[l@h@mZaTnCxAqLgGPHHDhCpAfIlEt@d@DBrAt@XNjElD@@v@n@JJTTBDBF?F@FAFAHrBn@^ZeG_F{[iR|@d@{BkA\PtIjEf@XuAs@
Shepherd'S Drive,Shepherds' Drive,
Sherwood Road,Forest,um}FujtxRGGIGG?I?IFGJGTMd@]Xq@Hs@Bc@C}A`L?LAPKjAmCaYHUBM@E~PdLEGy@kAUy@kIn@Tf@E@ICEKaBnV@HKPKEHKSXJFfAiEe@bCGPx@oEAJ
Shipyard Crescent,Industrial Infrastructure,sh}Fe}ywRkBIW@UDmAXyBF_@@|NkNJ@LBNFsG_@lAHlAD`CVHFNPHTFZ@t@ePuD^?dOnKMf@Y\e@Ro@DgK\f@EOB|AaO
Shipyard Road,Industrial Infrastructure,q__GciywRNChO}rA{AsEw@iCQm@Mc@ra@rn@A]G_@OaAI_@Uy@Uk@o@sASYeAoAQMoAaAsAq@sAi@]Mi@ScQq[YSYSQWuAfbBhAWh@WZc@Je@B[AqIBYHMPKVEqBsqAPRRZyGvbB`@K|h@i[VkEy@hOZiGj@_KBWH{A@SFiA?o@k_@l[rAAzD@dE?rBApB?V?X?xCAu]umAK]rJ|Vu@{@SUa@}@`DfE|ThW_[{_@pGbIWM_@S
Short Street,Short,ag}FwezxRUQy@o@s@m@_GyEOKYQICKAQA~HnFYOSO}CmCCCfCvBw@q@USn@j@XTyBkB
Shrewsbury Road,British Places,wm`GczyxRCSmAtFJARC|Ck@J[Vo@FS?SEe@S{@i@uBwC_EKy@AItBnRCa@oCx@|AaIK_AE]CSAIIm@CSC[lAvKe@rBfAGJAZI
Shunfu Gardens,Gardens,iofG_|wxRsDzCFPqBzAy@\gAVyBgDjAmCf@aGb@S`BRlBHbDXPdA
Shunfu Road,Food,m}fGk}wxRC^EVCREPGPMZOXKLCFCBsHvHDI@C@ABGDSFDAL@F?@BFBHxIcPDVN_HG~@AJCt@?V{AlIBCPSXs@P}@Da@B]{IfMHYL_@VYIRUj@GVtJgWARF}@AHAHaJrUXk@Z]h@WBHIDQFOJKHKLjBoAFCd@UZOHGfBiGANyAlFBADJIFOHEDUJWLUJ
Siak Kew Avenue,Kew Gardens Reference,uubG}c~xRAEAIqDsOQo@AKlC`Ly@mD`AdEH^ZtA
Sian Tuan Avenue,Avenue,ybeGcrmxRFCDCFAHAtAIzH_@pEYj@Ih@MRGb@ItAApGm@p@I`AGn@IJKDEkHbA
Siang Kuang Avenue,Historical Figures,qxbGky~xRESAGGQpG|XKg@EQKc@Ke@I]aFmTAEEMz@rDU}@?EZvAy@oDXnA~@tDZnA~AhHEWEWGWIYS{@CIqDuO
Siglap Avenue,Avenue,}t`Gq`gyR`@MTO^[R[\u@qGlDLDF@RAbG{F\gAnBcGJ]BG
Siglap Close,Tropical Plants,}}_GakhyRGEs@qF@CBAz@MD?D@[vFq@}E?C
Siglap Drive,Road Alongside Sea,{h`G_hhyRDBn@r@FHFHFHDJj@dB\dAzB|GBFTl@uH_RpI`TFPeDyJVt@X`Ad@nA
Siglap Gardens,Botanical,_f_Gu~hyR?E@CBCDAB?D@BB@B@B?DABCBC@E@CACACCACb@tBJp@HZJT
Siglap Hill,Hill Names,}t`Gq`gyRWy@k@qBy@aDs@qCES?UDg@PwE?C]gCXxGN}Ai@cElCdX
Siglap Link,Siglap Native Trees,qk~FgpiyR]o@wBi@XGf@[NOHMFQFUsDvBYBdFNI_@YLIGICSC?@YAgFd@EBEDGHE[HBH@xObKgDsHgHyAlBUhCa@COAQAS
Siglap Rise,Sea View,sl`Ge_hyRnBnCv@hADFDBBBBB
Siglap Road,Coastal Village,g|~FqdiyRCFCD@Ft@tBfAaA_Av@tR}ADCDGDIFM@K{\dLZ[nOiGf@Gp@@aDVTGpOo@m@O]CuADgV|EGOCKg`A|a@KBv@w@S\EDEFzv@yWFGh@g@vR{JUDgr@xUHI_GnFLMFGHILKb@[RQhBiBwHlHFCHAJGHEFEFGHKiIbAFA\MDCHCHAFAF?H?`@@qIlCFGHIPUT]BEpH_AtTsKfAAtAIq_@tLgALFEDCFCDAH?F?iAd@LMzBIjIsA@CiBv@J?F?nMcKPCn@KhIi@vB_@v@OiBZ~Ck@xAYDAPGXGl@[x@s@hCgCs@r@POvJqHn@Ki@\k@PKDo@LpGmAg@HaE`@waAr`@wBhBbfAmj@|FbCmD~@hG_AuARcCJRCz@OwSjMjJwILGoAk@Q|B]\nFcErSgEs@vANE{}@`X`@Kry@uV
Siglap Terrace,Historical Names,uv`GwsgyRd@JPBcDe@lEx@
Siglap Walk,Nature Trail,ic`Gc~gyRcA^_@N_FhEEDSb@CFi@gBpEuAoAbA
Silat Avenue,Silat Martial Arts,ogxFglvxRYBo@FO@A?a@DfDYQ@qDZ
Silat Road,Martial Arts,cuxFehvxRDBD@VJJFpDtJhAmCS{AMSQMwB_ApAh@D@
Siloso Beach Walk,Beach Scenic,ymsFw{sxR@K@O?K?iA}]nf@hA}@VYDEkD|D?C@EBC@AFCD?B@BBBB@D?DADCBCBE@EAEACAAEDWLSPWC\f_@om@AvB?f@hAkGKDGDC@MFOPCDEHETAVFy@BINONGDCDA@AaAbBBYDShBkAHEaClLCCAC?E@CDGBAB?B?B?BBBB@B?B?DABCBC@E@CAC?DcA?N@H[x@BEDE@EELLwHAvBbCaGq^pl@NSDKDML_@PULOZ[LIfAgAfAgAb@u@^i@JQTU`@_@d@[lAgAjAcA^SHIDGFIFK`@m@j@k@NKrAqBAU@UFY
Siloso Road,Beachfront,q|sFyitxRIB{@fAKJiB|BSf@GJC@GFQHqA\QJWVKPU`@w@fBAV@LFPZh@HNDF@H?fAfHcRJK|@iAoAlBmHfTgBCa@@c@?_AN[JcAd@QHSVSd@EP?NThA@RGXIROL]Fk@HMDMLEP@RFZj@nBd@dAp@nANVN\t@nBJ^?b@CPEHGDMPg@eFO[OYo@oAg@gAi@mBI[CUBQNQNGp@KXGJIJQDY?OUgAASBURe@PWPMfAe@XKdAOf@A^?b@?sFh^CH|Hs^Jc@?b@MoCCIMWYi@GUCSDWv@eBRa@NUPSZStAa@HERUHWgEfQqHfY?PEOfOel@T_@r@s@Yj@UXINqOtm@tTmt@HKo\fy@LG^MRG|@CD?D?r@A
Sim Lim Square,Shopping Mall,{k}FwxzxRIJoA~Aa@YgA}@xAkBjA~@
Sime Park Hill,Hill Parks,asdGkvrxRvClB
Sime Road,Historical Figures,wbdGqgtxR`@DPBl@FtAP^HVHyVln@SF{@@sBCmC?UJMLMNGNrSqLCLyCrF`DqNKLEPGX@d@VlB?V|IcReDxBUTnFsFK^Sj@aFdEu@pBg@l@iWdc@l@bG|@zI?d@Cb@I`@GTM\]j@y@dA?i_@?J@l@Bh@BNDeFCLAJAL?BE`@hAmFUn@kB|g@]TsAz@cB|@bn@q|AHIFMLU{AxGAE?EBKHc@i_@ze@wBrC?DKZCLX_Aje@}q@L@qAzDD[?IAIRDEFCHGXO~@Kl@AD
Simei Avenue,Transportation Network,{ecG}tnyRS^OSP_@q{@vt@oBvAqDrCddA_z@UZSV}y@zo@lEkDb@]~CiCbBsAr@e@TOaIpHmA|@v`@k[gEjDpJaIWPeVzQTQbUcRRSiUlSSNv@qAt@q@jEqD_IzHc@\vViSoAfAxCmDj@c@e_Att@vCyB~I_Hvy@so@YTi@d@ac@t\^Wh@c@{D|DiA|@uBbBjn@mh@b@e@oAlAVUgGbG[VaFzCvAkAwOvNiA|@u@j@}`@j[}C~Bc@^~|@qt@jNqL_ExEqC|BkCtBjLoJsHfFp@i@x@q@jA_AgNzKod@~_@
Simei Lane,Kallang Basin,sieGihoyR[aAEIQ{BHJ@NG^?R?J\pCDGFG?C@GJADB@?RHkAmBk@yA?KDGLABlA
Simei Rise,Waterfront Views,{|eG}ooyREOCECCGEIAuK{QInBQ~@_@x@q@v@c@Vm@Xs@Tq@T~E}NGSBIFGP?TCFG?M?ER~CkHzLE@E?EACECE@E@EBCDAD?D@FH?DAFxGkOFH@JiI`MKg@A_@`FtIIGw@o@gAyAcA{ILc@Ts@^i@l@q@x@k@x@WwF|I?IBi@Hg@O`C?UrO|JwCVeAB[CFkW\@vJzUk@FpAI
Simei Road,Kampong-Named Roads,gcfGghoyRPALA~\s@NKxCaBeR|EI?sAGrK[d@Sj@Wh@YyKjBUUV@jLqAKFg@Xm@Vc@P_@L]F}I[pAFaMKW?u@?]FWFWLve@oE{CdBGDyHtBSAuAGjS{G`@]^_@JOXYHNaAfAe@^vFuKIb@o@bAN}@BMVTKb@A}AoZtSfBH{NSI?B_@F@zAFfBJyDSnAd@k@Cvb@}KN[HWTi@_E|FJNrDuEe@bAz@qBms@`RuAl@wCnAfIuDe@Tr]kAZEcBR\C{KCuOjArBaAhFW\BnBFtK\r@E_@BtReLog@zIf@?|@BmFVl@O_C|@x@a@PIkDdBDCiFbC|CyA
Simei Street 1,Transportation Hub,m{eGoaoyRGK?AACHoA@A@?P?dA@?EDCP?BB?DGhBz@DNADIFkAcOh@OSEAE@iA|@AB?BCLlAe@AFOfE?D@BT\f@a@BC?EFwAIiFv@dAb@h@lAJqAd@BH|FjOh@p@DH@J{C{A_At@~FvA^d@VNbDdAGDCBIFe@`C@CROpF`BGDkPi]?j@?BA@CBoEx@CFA\?@?@@??@?@??@@?@@??@@?lCdKTVv@`AzM~J_@g@EGAI@IAGa@g@]VmA~@f@p@tFfAkBvAPVtCk@u@l@@|At@bADBFAh@a@l@a@@EAGgAoAM_ANMDAB@D@hBvBdCsHRS~AtBiElDaBqB?C@?VQf@gFTWDIAKa@g@KO_BnBw@p@f@n@qQsP_@c@QWGIm@s@u@_AMOEIGKEEAEAA?CAA?AAA?A?CsAaE\BjGrQpACHGFEVvCYRnSxFSUEEmZsm@B[BYyBl\r@k@@?@?V^|_@pNUPa_@{a@B_@rXrb@b@pCEGfEvCMQz@U{CdC{LiAvAsAFDHBF@FBDDiGgBaK_^H@jAzLH?sGuNAEoAvFE?CC}@mAAC@QnI[IAxDyBj@bZc@m@cHcJDKn@vAg@s@IMdPjPs@_A`M^X^e@m@IFJL[u@cWuc@A\p^ra@TQsIrERJJBL?LAJEh@c@LIsXch@BLI?fKv]d@l@BDK@_@e@Ya@i@q@i@_Ap@x@iJuL@D?@DHBFLRZ^z@dAZ^X^^b@vSlQw@l@OFO@O?OESK]]oEaGB@V^EDY_@AAkNkU[A|@o@R@V?tElVxAz@UPC?{Cw\gDp@Cn@TgFIbBQrABi@@Q@WK`C@QbR~h@yNsYjC`@\d@?LKMQUk@s@qEaHI?DgA??hS~ZMJQsABDBRKKmBsBUPbClACLY]e@k@vDlAbDv@d@]q@^hDuB{@n@e\qk@AXlYbm@eZwe@CbCvQr_@V^uQsk@rPjm@hLhA[c@mRyFZSdNhEv@y@FGBCk]{ZFXEsBrZt_@vAs@V_@j@c@ya@iT^@@?L?D?_BC??@???@@??@???^w@_@AbDhG^{HA@?@Ct@
Simei Street 2,Estate Naming,sxeGyqnyRFEjDoCvAkAROHGqBBiAsACAs@d@eBrACJ~Et@??}Ek@`ApArA_Fa@r@TZdFOmH|Fb@YLMZWZUQiC\`@d@j@
Simei Street 3,Eastern Region Streets,iqeGagoyRARjb@`t@OSsb@os@@Sfc@ps@LTgSuWFHJNJNeCaCQUSWiH{I[a@a@k@QY?CKWIc@?]AUpTnZJNZ^wC`NGJ?NBNPRlO]yAoB}]cn@OrD?@?f@FXza@|j@@e@PR}AsB`@j@_OiRrA~ADD|FtH^d@lA`BiD_DCEsAmBnB|AqRiVlCdDVZzEpHEGmAcBaIcLHJAb@MQKOlLhOtIzKIKg@m@wUsZkBcDzBtC@@pNxRaAkAGG|CpCd@l@\`@yDbNj@p@yBmCl@v@_AkAvFoIWTkCxKdIqHoBkCJx@a@e@GGuB}DgL{M~D`FEEEGgO{VH}B|NxY}M}PDHLRj@r@fSp`@kA|@tBaBoCvBi@^}A_ThMhOh@t@qE_G
Simei Street 4,Avenue,aceGk{nyRNMk@yLIK{EfTPMnLuJCOIMGIm@{@GIiAwAi@q@QSuEzRbAu@b@_@hG_Fb@]JMmAfAEsEKM]a@DdHVSoB|AwAhArC{BPcI_C~K
Simei Street 5,Kampong-Themed,ijeGusnyRGFm@d@_E`Dc@\EDGDjCsBb@_@
Simei Street 6,Neighborhood Landmarks,uheG}dnyRvAgAROkEdDFGDCAHGFpHuFMF{@p@o@d@{BdBQLYRnGeFJIsCbC_Ar@
Simon Lane,Historical Figures,ygiGi}`yRu@i@jCfBdAt@z@gAs@|@}BoAzCtBZVqKiHEE
Simon Road,Historical Figures,c{hG_fayR[Ti@XqBx@GBIFOJxAy@j@]JIf@[JI^]JIyDlCwAz@_Ap@~IkFKHgKjGa@TEFfIaFGFa@T
Simon Walk,Historical Figure,}biGcaayRBB~A~B
